seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_DoubleJet_100_35_DoubleJet35_Mass_Min620,17.975,0,0.000,0.000,0.000,0.000,0.000,4.767
L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,11.796,0,0.000,0.000,0.000,0.000,0.000,4.203
L1_DoubleJet_110_40_DoubleJet40_Mass_Min620,9.103,0,0.000,0.000,0.000,0.000,0.000,3.778
L1_DoubleJet_115_35_DoubleJet35_Mass_Min620,10.180,0,0.000,0.000,0.000,0.000,0.000,3.990
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,7.682,1,7.682,0.467,3.033,0.293,4.213,3.566
L1_DoubleJet30_Mass_Min400_Mu6,61.928,0,0.000,0.000,0.000,0.000,0.000,11.808
L1_DoubleJet30_Mass_Min400_Mu10,15.727,0,0.000,0.000,0.000,0.000,0.000,10.087
L1_LooseIsoEG18er2p1_IsoTau24er2p1_dR_Min0p3,5.706,0,0.000,0.000,0.000,0.000,0.000,1.720
L1_DoubleJet35_rmovlp_IsoTau45_Mass_Min450,12.836,0,0.000,0.000,0.000,0.000,0.000,7.075
L1_LooseIsoEG20er2p1_IsoTau25er2p1_dR_Min0p3,4.043,0,0.000,0.000,0.000,0.000,0.000,1.639
L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,3.309,1,3.309,0.306,0.230,0.081,0.712,1.621
L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,2.850,1,2.850,0.284,0.000,0.000,0.456,1.622
L1_Mu16er2p1_Tau20er2p1,9.728,0,0.000,0.000,0.000,0.000,0.000,1.865
L1_Mu16er2p1_Tau24er2p1,3.908,0,0.000,0.000,0.000,0.000,0.000,1.681
L1_Mu18er2p1_Tau20er2p1,7.012,0,0.000,0.000,0.000,0.000,0.000,1.860
L1_Mu18er2p1_Tau24er2p1,2.990,1,2.990,0.291,0.380,0.104,1.092,1.674
L1_Mu22er2p1_Tau50er2p1,0.440,0,0.000,0.000,0.000,0.000,0.000,1.553
L1_Mu22er2p1_Tau70er2p1,0.305,1,0.305,0.093,0.000,0.000,0.024,1.536
