id,name,proposed name,2,1.8,1.6,1.4,1.2,1,0.75,0.5,0.25,xml,POG,PAG,comment
127,L1_DoubleIsoTau34er2p1,L1_DoubleIsoTau34er,1,1,1,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau34er"
128,L1_DoubleIsoTau35er2p1,L1_DoubleIsoTau35er,1,1,1,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau35er"
129,L1_DoubleIsoTau36er2p1,L1_DoubleIsoTau36er,1,1,1,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau36er"
130,L1_DoubleIsoTau38er2p1,L1_DoubleIsoTau38er,1,1,1,1,1,1,1,1,1,x,TAU,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-103 , sync:L1_Mu22er_IsoTau38er"
131,L1_SingleJet16,,0,0,0,0,0,0,0,0,0,x,JET,BASE,Circulating
132,L1_SingleJet20,,0,0,0,0,0,0,0,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
133,L1_SingleJet35,,159000,123000,89000,62000,45000,33000,21000,12000,6000,x,JET,BASE,JetMET POG: https://its.cern.ch/jira/browse/CMSLITDPG-46
134,L1_SingleJet60,,13400,10400,7700,5500,4200,3200,2300,1300,650,x,JET,BASE,JetMET POG: https://its.cern.ch/jira/browse/CMSLITDPG-46
135,L1_SingleJet90,,1500,1200,990,770,620,500,360,230,110,x,JET,BASE,JetMET POG: https://its.cern.ch/jira/browse/CMSLITDPG-46
136,L1_SingleJet120,,350,300,245,200,160,130,1,1,1,x,JET,BASE,JetMET POG: https://its.cern.ch/jira/browse/CMSLITDPG-46
137,L1_SingleJet140,,0,0,0,1,1,1,1,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
138,L1_SingleJet150,,0,0,1,1,1,1,1,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
139,L1_SingleJet160,,0,0,1,1,1,1,1,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
140,L1_SingleJet170,,0,1,1,1,1,1,1,1,1,x,JET,BASE,JetMET POG: https://its.cern.ch/jira/browse/CMSLITDPG-46
141,L1_SingleJet180,,1,1,1,1,1,1,1,1,1,x,JET,BASE,JetMET POG: https://its.cern.ch/jira/browse/CMSLITDPG-46
142,L1_SingleJet200,,1,1,1,1,1,1,1,1,1,x,JET,BASE,JetMET POG: https://its.cern.ch/jira/browse/CMSLITDPG-46
143,L1_SingleJet35_FWD,,103000,62000,32000,15000,7400,4100,2100,1150,580,x,JET,BASE,SMP/BTV/JME: https://its.cern.ch/jira/browse/CMSLITDPG-99
144,L1_SingleJet60_FWD,,5100,3100,1700,870,535,370,230,135,70,x,JET,BASE,SMP/BTV/JME: https://its.cern.ch/jira/browse/CMSLITDPG-99
145,L1_SingleJet90_FWD,,250,180,125,85,60,45,30,1,1,x,JET,BASE,SMP/BTV/JME: https://its.cern.ch/jira/browse/CMSLITDPG-99
146,L1_SingleJet120_FWD,,38,30,20,15,10,8,5,1,1,x,JET,BASE,SMP/BTV/JME: https://its.cern.ch/jira/browse/CMSLITDPG-99
147,L1_SingleJet35_HFp,,0,0,0,0,0,0,0,0,0,x,JET,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-128
148,L1_SingleJet35_HFm,,0,0,0,0,0,0,0,0,0,x,JET,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-128
149,L1_SingleJet60_HFp,,0,0,0,0,0,0,0,0,0,x,JET,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-128
150,L1_SingleJet60_HFm,,0,0,0,0,0,0,0,0,0,x,JET,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-128
151,L1_DoubleJet40er3p0,L1_DoubleJetC40,34000,21000,12000,5800,3600,2500,1600,970,490,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
152,L1_DoubleJet50er3p0,L1_DoubleJetC50,0,0,0,0,0,0,0,0,0,x,JET,BASE,slim:
153,L1_DoubleJet60er3p0,L1_DoubleJetC60,0,0,0,0,0,0,0,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
154,L1_DoubleJet80er3p0,L1_DoubleJetC80,0,0,0,0,0,0,1,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
155,L1_DoubleJet100er3p0,L1_DoubleJetC100,170,150,1,1,1,1,1,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
156,L1_DoubleJet112er3p0,L1_DoubleJetC112,100,90,1,1,1,1,1,1,1,x,JET,BASE,slim:
157,L1_DoubleJet120er3p0,L1_DoubleJetC120,1,1,1,1,1,1,1,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
158,L1_TripleJet_84_68_48_VBF,,0,0,0,0,0,0,0,0,0,x,JET,BASE,Circulating
159,L1_TripleJet_88_72_56_VBF,,0,0,0,0,0,0,0,0,0,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
160,L1_TripleJet_92_76_64_VBF,,0,0,0,0,0,0,0,0,0,x,JET,BASE,Circulating
161,L1_QuadJet40er3p0,L1_QuadJetC40,0,0,0,0,0,1,1,1,1,x,JET,BASE,Circulating
162,L1_QuadJet50er3p0,L1_QuadJetC50,0,0,0,1,1,1,1,1,1,x,JET,BASE,slim:
163,L1_QuadJet60er3p0,L1_QuadJetC60,1,1,1,1,1,1,1,1,1,x,JET,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
165,L1_HTT120er,L1_HTT120,11400,7600,4700,2800,1900,1400,860,510,250,x,SSUM,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-140  target rate [50, 100] Hz"
166,L1_HTT160er,L1_HTT160,4100,2700,1700,1050,730,530,350,210,100,x,SSUM,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-140  target rate [50, 100] Hz"
167,L1_HTT200er,L1_HTT200,1600,1100,690,440,310,230,1,1,1,x,SSUM,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-140  target rate [50, 100] Hz"
168,L1_HTT220er,L1_HTT220,0,0,0,0,0,0,1,1,1,x,SSUM,BASE,Cosmics:
169,L1_HTT240er,L1_HTT240,0,0,0,0,0,1,1,1,1,x,SSUM,BASE,Cosmics:
170,L1_HTT255er,L1_HTT255,500,350,240,160,120,90,1,1,1,x,SSUM,BASE,"https://its.cern.ch/jira/browse/CMSLITDPG-140  target rate [50, 100] Hz"
171,L1_HTT270er,L1_HTT270,0,0,0,1,1,1,1,1,1,x,SSUM,BASE,Cosmics:
172,L1_HTT280er,L1_HTT280,0,0,1,1,1,1,1,1,1,x,SSUM,BASE,Cosmics:
173,L1_HTT300er,L1_HTT300,0,1,1,1,1,1,1,1,1,x,SSUM,BASE,"slim: * eta-restricted is the default for 2017, etaMax = 26 (jet eta .lt. 2.5)"
174,L1_HTT320er,L1_HTT320,1,1,1,1,1,1,1,1,1,x,SSUM,BASE,Cosmics:
175,L1_HTT340er,L1_HTT340,1,1,1,1,1,1,1,1,1,x,SSUM,BASE,slim:
176,L1_HTT380er,L1_HTT380,1,1,1,1,1,1,1,1,1,x,SSUM,BASE,slim:
177,L1_HTT400er,L1_HTT400,1,1,1,1,1,1,1,1,1,x,SSUM,BASE,Susy:
178,L1_HTT450er,L1_HTT450,1,1,1,1,1,1,1,1,1,x,SSUM,BASE,Susy:
179,L1_HTT500er,L1_HTT500,1,1,1,1,1,1,1,1,1,x,SSUM,BASE,Susy:
180,L1_ETM30,,0,0,0,0,0,0,0,0,0,x,VSUM,BASE,Circulating
181,L1_ETM40,,0,0,0,0,0,0,0,0,0,x,VSUM,BASE,Circulating
